IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.154.187.191,443,443,true,FRA,Europe,Frankfurt,265,5.64
34.65.51.214,443,443,true,FRA,Europe,Frankfurt,189,5.63
34.65.113.146,443,443,true,FRA,Europe,Frankfurt,185,5.63
34.65.184.206,443,443,true,FRA,Europe,Frankfurt,254,5.62
34.118.82.161,443,443,true,FRA,Europe,Frankfurt,363,5.62
34.34.6.20,443,443,true,FRA,Europe,Frankfurt,257,5.62
34.141.77.90,443,443,true,FRA,Europe,Frankfurt,272,5.62
34.65.38.175,443,443,true,FRA,Europe,Frankfurt,185,5.62
34.65.218.205,443,443,true,FRA,Europe,Frankfurt,252,5.62
34.116.255.233,443,443,true,FRA,Europe,Frankfurt,214,5.62
34.116.235.43,443,443,true,FRA,Europe,Frankfurt,275,5.61
34.90.120.205,443,443,true,FRA,Europe,Frankfurt,201,5.61
34.91.243.21,443,443,true,FRA,Europe,Frankfurt,273,5.61
34.159.73.193,443,443,true,FRA,Europe,Frankfurt,336,5.60
34.65.45.164,443,443,true,FRA,Europe,Frankfurt,196,5.60
34.154.172.239,443,443,true,FRA,Europe,Frankfurt,261,5.60
34.65.20.187,443,443,true,FRA,Europe,Frankfurt,254,5.60
34.91.109.219,443,443,true,FRA,Europe,Frankfurt,195,5.59
34.34.50.184,443,443,true,FRA,Europe,Frankfurt,261,5.59
34.89.249.182,443,443,true,FRA,Europe,Frankfurt,259,5.57
34.65.7.59,443,443,true,FRA,Europe,Frankfurt,261,5.56
34.32.192.220,443,443,true,FRA,Europe,Frankfurt,258,5.56
35.204.187.204,443,443,true,FRA,Europe,Frankfurt,243,5.56
34.154.214.184,443,443,true,FRA,Europe,Frankfurt,262,5.56
34.91.27.34,443,443,true,FRA,Europe,Frankfurt,193,5.55
34.154.198.125,443,443,true,FRA,Europe,Frankfurt,194,5.55
34.107.25.251,443,443,true,FRA,Europe,Frankfurt,236,5.55
34.118.25.207,443,443,true,FRA,Europe,Frankfurt,265,5.54
34.116.195.95,443,443,true,FRA,Europe,Frankfurt,363,5.54
34.116.201.193,443,443,true,FRA,Europe,Frankfurt,213,5.54
34.141.197.22,443,443,true,FRA,Europe,Frankfurt,269,5.53
34.65.218.205,443,443,true,FRA,Europe,Frankfurt,254,5.53
34.118.90.82,443,443,true,FRA,Europe,Frankfurt,341,5.53
34.34.33.127,443,443,true,FRA,Europe,Frankfurt,202,5.52
34.116.167.6,443,443,true,FRA,Europe,Frankfurt,275,5.52
34.90.123.123,443,443,true,FRA,Europe,Frankfurt,269,5.52
34.159.215.213,443,443,true,FRA,Europe,Frankfurt,261,5.52
34.107.73.97,443,443,true,FRA,Europe,Frankfurt,327,5.49
34.65.130.191,443,443,true,FRA,Europe,Frankfurt,252,5.49
34.91.217.239,443,443,true,FRA,Europe,Frankfurt,270,5.48
34.89.158.25,443,443,true,FRA,Europe,Frankfurt,264,5.48
34.90.114.100,443,443,true,FRA,Europe,Frankfurt,271,5.48
34.89.179.31,443,443,true,FRA,Europe,Frankfurt,261,5.47
34.90.11.5,443,443,true,FRA,Europe,Frankfurt,255,5.47
34.89.241.158,443,443,true,FRA,Europe,Frankfurt,185,5.47
34.159.129.172,443,443,true,FRA,Europe,Frankfurt,302,5.47
35.204.225.94,443,443,true,FRA,Europe,Frankfurt,267,5.47
34.65.219.21,443,443,true,FRA,Europe,Frankfurt,251,5.47
34.91.109.219,443,443,true,FRA,Europe,Frankfurt,257,5.47
35.204.33.92,443,443,true,FRA,Europe,Frankfurt,259,5.45
34.116.233.124,443,443,true,FRA,Europe,Frankfurt,280,5.45
34.141.41.41,443,443,true,FRA,Europe,Frankfurt,262,5.45
34.65.195.44,443,443,true,FRA,Europe,Frankfurt,266,5.44
34.116.207.43,443,443,true,FRA,Europe,Frankfurt,272,5.44
34.65.184.103,443,443,true,FRA,Europe,Frankfurt,195,5.44
34.91.217.239,443,443,true,FRA,Europe,Frankfurt,259,5.44
34.65.158.214,443,443,true,FRA,Europe,Frankfurt,196,5.44
34.154.189.124,443,443,true,FRA,Europe,Frankfurt,270,5.43
34.65.118.63,443,443,true,FRA,Europe,Frankfurt,263,5.43
34.91.66.231,443,443,true,FRA,Europe,Frankfurt,259,5.43
34.116.181.34,443,443,true,FRA,Europe,Frankfurt,203,5.43
34.32.236.173,443,443,true,FRA,Europe,Frankfurt,269,5.42
34.91.149.210,443,443,true,FRA,Europe,Frankfurt,271,5.42
34.90.79.250,443,443,true,FRA,Europe,Frankfurt,267,5.42
34.65.113.146,443,443,true,FRA,Europe,Frankfurt,261,5.42
34.118.108.83,443,443,true,FRA,Europe,Frankfurt,274,5.42
34.118.80.20,443,443,true,FRA,Europe,Frankfurt,344,5.42
34.116.135.49,443,443,true,FRA,Europe,Frankfurt,281,5.42
34.89.163.70,443,443,true,FRA,Europe,Frankfurt,262,5.42
34.91.175.54,443,443,true,FRA,Europe,Frankfurt,193,5.41
34.107.73.97,443,443,true,FRA,Europe,Frankfurt,194,5.40
34.116.195.95,443,443,true,FRA,Europe,Frankfurt,280,5.40
34.90.120.205,443,443,true,FRA,Europe,Frankfurt,269,5.40
34.91.217.239,443,443,true,FRA,Europe,Frankfurt,271,5.39
