IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
143.47.241.191,443,443,true,FRA,Europe,Frankfurt,226,5.47
141.147.116.119,443,443,true,FRA,Europe,Frankfurt,257,5.43
141.147.116.226,443,443,true,FRA,Europe,Frankfurt,201,5.40
141.147.190.128,443,443,true,NRT,Asia Pacific,Tokyo,73,5.40
158.179.172.95,443,443,true,ICN,Asia Pacific,Seoul,69,5.38
150.230.7.216,443,443,true,KIX,Asia Pacific,Osaka,67,5.32
141.147.111.1,443,443,true,FRA,Europe,Frankfurt,199,5.32
150.230.119.81,443,443,true,FRA,Europe,Frankfurt,346,5.31
141.147.50.148,443,443,true,FRA,Europe,Frankfurt,182,5.28
141.147.108.218,443,443,true,FRA,Europe,Frankfurt,265,5.27
132.226.209.35,443,443,true,FRA,Europe,Frankfurt,225,5.25
141.144.196.23,443,443,true,FRA,Europe,Frankfurt,255,5.24
89.168.52.251,8443,443,true,CDG,Europe,Paris,243,5.21
143.47.252.90,443,443,true,FRA,Europe,Frankfurt,226,5.21
158.101.181.90,443,443,true,FRA,Europe,Frankfurt,191,5.19
146.56.132.247,443,443,true,NRT,Asia Pacific,Tokyo,113,5.19
144.24.167.32,443,443,true,FRA,Europe,Frankfurt,258,5.15
193.123.250.209,2087,2096,true,ICN,Asia Pacific,Seoul,99,5.12
158.180.51.168,443,443,true,FRA,Europe,Frankfurt,286,5.11
141.144.205.24,443,443,true,FRA,Europe,Frankfurt,259,5.10
84.8.145.142,443,443,true,FRA,Europe,Frankfurt,292,5.08
138.3.251.80,443,443,true,FRA,Europe,Frankfurt,191,5.04
146.56.46.84,443,443,true,NRT,Asia Pacific,Tokyo,113,5.04
152.70.155.147,443,443,true,LAX,North America,Los Angeles,229,5.04
158.101.98.60,2095,443,true,IAD,North America,Ashburn,245,5.02
141.147.69.219,443,443,true,FRA,Europe,Frankfurt,258,5.01
140.238.102.114,8443,443,true,LHR,Europe,London,278,4.98
89.168.98.253,443,443,true,FRA,Europe,Frankfurt,191,4.94
141.144.199.152,443,443,true,FRA,Europe,Frankfurt,197,4.94
141.148.237.254,443,443,true,FRA,Europe,Frankfurt,188,4.93
193.123.38.217,443,443,true,FRA,Europe,Frankfurt,224,4.91
89.168.96.254,443,443,true,FRA,Europe,Frankfurt,218,4.90
84.235.164.4,443,443,true,FRA,Europe,Frankfurt,261,4.89
152.67.146.112,443,443,true,FRA,Europe,Frankfurt,303,4.88
152.70.155.147,2053,2053,true,LAX,North America,Los Angeles,200,4.87
141.144.196.81,443,443,true,FRA,Europe,Frankfurt,259,4.86
158.101.217.99,443,443,true,FRA,Europe,Frankfurt,261,4.84
152.70.57.231,443,443,true,FRA,Europe,Frankfurt,223,4.83
84.235.165.160,443,443,true,FRA,Europe,Frankfurt,264,4.81
143.47.239.106,443,443,true,FRA,Europe,Frankfurt,276,4.81
150.230.149.208,443,443,true,FRA,Europe,Frankfurt,291,4.81
89.168.68.249,443,443,true,FRA,Europe,Frankfurt,258,4.79
152.67.149.159,443,443,true,FRA,Europe,Frankfurt,278,4.78
152.70.61.235,443,443,true,FRA,Europe,Frankfurt,335,4.77
193.123.36.83,443,443,true,FRA,Europe,Frankfurt,261,4.76
141.147.81.185,443,443,true,FRA,Europe,Frankfurt,277,4.75
141.148.233.219,443,443,true,FRA,Europe,Frankfurt,344,4.69
158.101.217.180,443,443,true,FRA,Europe,Frankfurt,209,4.68
152.67.231.219,443,443,true,SJC,North America,San Jose,191,4.66
141.148.229.106,443,443,true,AMS,Europe,Amsterdam,248,4.62
155.248.202.141,443,443,true,SJC,North America,San Jose,190,4.55
152.70.155.147,2087,2087,true,LAX,North America,Los Angeles,245,4.53
158.178.148.254,443,443,true,FRA,Europe,Frankfurt,289,4.51
193.123.38.217,443,443,true,FRA,Europe,Frankfurt,268,4.48
141.147.101.1,443,443,true,FRA,Europe,Frankfurt,236,4.39
146.235.219.98,443,443,true,SJC,North America,San Jose,190,4.36
